Calling_No,Called_No,Call_Start,Duration_Sec,IMEI,Cell_ID
9876543210,9007198254,18/09/2026 13:45:12,312,866123045678901,CELL_MH_0041
9876543210,9007198254,18/09/2026 13:52:08,187,866123045678901,CELL_MH_0041
9876543210,1800110001,18/09/2026 14:01:33,45,866123045678901,CELL_MH_0039
9876543210,9007198254,18/09/2026 14:22:10,89,866123045678901,CELL_MH_0041
9007198254,9876543210,18/09/2026 13:52:00,193,866123045678901,CELL_MH_0041
9007198254,9999000001,18/09/2026 14:03:14,22,866123045678901,CELL_MH_0039
9007198254,9999000002,18/09/2026 14:12:45,15,866123045678901,CELL_MH_0042
9007198254,1800110001,18/09/2026 14:18:55,31,866123045678901,CELL_MH_0041
9998887776,9007198254,18/09/2026 08:11:02,44,359482061234567,CELL_MH_0010
9998887776,1800110001,18/09/2026 09:22:14,88,359482061234567,CELL_MH_0010
9998887776,9876543210,18/09/2026 11:43:09,201,359482061234567,CELL_MH_0015
8881112223,9007198254,18/09/2026 10:05:33,66,356871091234561,CELL_MH_0022
8881112223,9998887776,18/09/2026 12:01:47,133,356871091234561,CELL_MH_0022
9007198254,8881112223,18/09/2026 14:00:55,12,866123045678901,CELL_MH_0039
7770001112,9876543210,18/09/2026 12:30:01,55,352801071234568,CELL_MH_0030
7770001112,9999000001,18/09/2026 13:10:44,27,352801071234568,CELL_MH_0030
9998887776,7770001112,18/09/2026 13:55:22,40,359482061234567,CELL_MH_0010
9876543210,7770001112,18/09/2026 14:25:19,17,866123045678901,CELL_MH_0041
9007198254,9876543210,18/09/2026 14:30:00,61,866123045678901,CELL_MH_0041
9876543210,9007198254,18/09/2026 14:45:22,28,866123045678901,CELL_MH_0041
