msisdn,private_ip,public_ip,session_start,session_end,dest_ip,bytes
9007198254,10.18.4.22,103.45.12.88,2026-09-18T13:38:00+05:30,2026-09-18T13:55:00+05:30,142.251.42.100,820400
9007198254,10.18.4.22,103.45.12.88,2026-09-18T14:00:00+05:30,2026-09-18T14:15:00+05:30,172.217.18.46,1204800
9007198254,10.18.4.22,103.45.12.88,2026-09-18T14:02:10+05:30,2026-09-18T14:09:45+05:30,185.199.108.133,312200
9876543210,10.18.7.105,103.45.12.88,2026-09-18T13:50:12+05:30,2026-09-18T14:05:22+05:30,142.251.42.100,445100
9876543210,10.18.7.105,103.45.12.88,2026-09-18T14:08:00+05:30,2026-09-18T14:12:30+05:30,185.199.108.133,198200
9998887776,10.18.2.91,103.45.12.88,2026-09-18T13:51:00+05:30,2026-09-18T13:58:00+05:30,8.8.8.8,44100
8881112223,10.18.6.44,203.145.67.22,2026-09-18T10:00:00+05:30,2026-09-18T10:30:00+05:30,142.251.42.100,510000
8881112223,10.18.6.44,203.145.67.22,2026-09-18T12:00:00+05:30,2026-09-18T12:45:00+05:30,172.217.18.46,891000
7770001112,10.18.5.77,198.51.100.44,2026-09-18T12:25:00+05:30,2026-09-18T12:40:00+05:30,8.8.8.8,125000
7770001112,10.18.5.77,198.51.100.44,2026-09-18T13:05:00+05:30,2026-09-18T13:20:00+05:30,142.251.42.100,330000
9999000001,10.19.1.55,203.145.67.22,2026-09-18T09:00:00+05:30,2026-09-18T09:30:00+05:30,8.8.4.4,50000
9999000002,10.19.2.66,192.0.2.55,2026-09-18T11:00:00+05:30,2026-09-18T11:30:00+05:30,8.8.8.8,62000
9007198254,10.18.4.22,103.45.12.88,2026-09-18T14:20:00+05:30,2026-09-18T14:35:00+05:30,142.251.42.100,990000
9876543210,10.18.7.105,103.45.12.88,2026-09-18T14:40:00+05:30,2026-09-18T15:00:00+05:30,8.8.8.8,220000
9998887776,10.18.2.91,103.45.12.88,2026-09-18T14:05:00+05:30,2026-09-18T14:18:00+05:30,172.217.18.46,135000
